2019-05-29 09:59:51.280[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-Starting SpringBootMyo2oApplication on DESKTOP-4M28N93 with PID 14900 (C:\spring-boot-myo2o-master\target\classes started by 760599245 in C:\spring-boot-myo2o-master)
2019-05-29 09:59:51.285[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-No active profile set, falling back to default profiles: default
2019-05-29 10:01:07.668[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-Starting SpringBootMyo2oApplication on DESKTOP-4M28N93 with PID 11272 (C:\spring-boot-myo2o-master\target\classes started by 760599245 in C:\spring-boot-myo2o-master)
2019-05-29 10:01:07.671[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-No active profile set, falling back to default profiles: default
2019-05-29 10:01:10.097[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-Started SpringBootMyo2oApplication in 2.96 seconds (JVM running for 4.22)
2019-05-29 10:50:17.626[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-Starting SpringBootMyo2oApplication on DESKTOP-4M28N93 with PID 17240 (C:\spring-boot-myo2o-master\target\classes started by 760599245 in C:\spring-boot-myo2o-master)
2019-05-29 10:50:17.629[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-No active profile set, falling back to default profiles: default
2019-05-29 10:53:59.195[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-Starting SpringBootMyo2oApplication on DESKTOP-4M28N93 with PID 8528 (C:\spring-boot-myo2o-master\target\classes started by 760599245 in C:\spring-boot-myo2o-master)
2019-05-29 10:53:59.198[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-No active profile set, falling back to default profiles: default
2019-05-29 10:54:02.772[main]INFO  com.chen.myo2o.SpringBootMyo2oApplication-Started SpringBootMyo2oApplication in 3.927 seconds (JVM running for 6.264)
